sales_volume_location,sales_volume_location_2016,sales_volume_location_2015,latitude,longitude,zestimate,primary_type,zestimate_NEXT_TO,primary_type_NEXT_TO
1534.0,1593.0,1593.0,41.84036,-87.73087,161538.79056709714,4524.0,228346.3992391644,2853.6666666666665
1534.0,1593.0,1593.0,41.84387,-87.73250999999998,161538.79056709714,4524.0,228346.3992391644,2853.6666666666665
4345.0,4513.0,4513.0,41.96764,-87.7081,369466.92852741835,2309.0,501768.96697892627,1732.8333333333333
6389.0,6638.0,6638.0,41.96863,-87.71599,369466.92852741835,2309.0,501768.96697892627,1732.8333333333333
1023.0,1062.0,1062.0,41.9686,-87.71925,369466.92852741835,2309.0,501768.96697892627,1732.8333333333333
512.0,531.0,531.0,41.96592,-87.6892,639062.7041644132,1892.0,545249.6846952764,2373.4444444444443
1023.0,1062.0,1062.0,42.0094,-87.66176999999998,310540.02964118565,3654.0,409252.03267015086,2810.5
1278.0,1327.0,1327.0,41.65211,-87.61678,50665.166666666664,1298.0,85724.0494855441,2822.0
767.0,796.0,796.0,41.69371,-87.62312,102711.14822006473,6788.0,110671.77307300281,3135.625
512.0,531.0,531.0,41.71568,-87.62086,102711.14822006473,6788.0,110671.77307300281,3135.625
1278.0,1327.0,1327.0,41.69371,-87.62312,102711.14822006473,6788.0,110671.77307300281,3135.625
596.0,944.0,944.0,41.7857,-87.73698,196968.47516679022,1483.0,185528.9328636008,2256.3333333333335
512.0,531.0,531.0,41.78607,-87.69762,147830.85739750444,5481.0,138275.90027954598,5183.2
3702.0,5221.0,5221.0,41.97486,-87.78231,310830.10698141635,1065.0,361094.9201218921,1566.6666666666667
256.0,265.0,265.0,41.96838,-87.72792,369466.92852741835,2309.0,501768.96697892627,1732.8333333333333
1186.0,2148.0,2148.0,41.79948,-87.70406,150317.5129434324,1964.0,155907.55291200802,4512.666666666667
2300.0,2389.0,2389.0,41.93813,-87.7798,254227.90304878048,4254.0,258602.64636018002,4238.142857142857
256.0,265.0,265.0,41.93868,-87.80711,273667.0926941447,1426.0,270509.91384823824,2332.25
1023.0,1062.0,1062.0,41.90921,-87.78711,269140.65401785716,457.0,231556.32079920894,6247.666666666667
256.0,265.0,265.0,41.76653,-87.66906999999998,58636.80568720379,13037.0,128917.97160025159,3999.1428571428573
1278.0,1327.0,1327.0,41.77762,-87.66701,58636.80568720379,13037.0,128917.97160025159,3999.1428571428573
512.0,531.0,531.0,41.77335,-87.60004,160850.25199362042,3417.0,255434.07113188843,3820.8
1193.0,1662.0,1662.0,41.9239,-87.74977,254227.90304878048,4254.0,258602.64636018002,4238.142857142857
3323.0,3451.0,3451.0,41.92447,-87.75214,254227.90304878048,4254.0,258602.64636018002,4238.142857142857
5878.0,6107.0,6107.0,41.92469000000001,-87.73708,268652.4436781609,1172.0,327755.36401724356,5547.142857142857
256.0,265.0,265.0,41.91012,-87.73201999999998,255649.45671641792,9022.0,411416.4491430084,4833.0
1908.0,2660.0,2660.0,41.91708,-87.75822,254227.90304878048,4254.0,258602.64636018002,4238.142857142857
512.0,531.0,531.0,41.97031,-87.6796,639062.7041644132,1892.0,545249.6846952764,2373.4444444444443
12778.0,13276.0,13276.0,41.69714000000001,-87.68175,227228.10582010582,1998.0,165512.79413178487,3018.2
4089.0,4248.0,4248.0,41.72131,-87.67459000000002,285639.3509117792,873.0,173780.49289113728,2990.0
256.0,265.0,265.0,41.99800000000001,-87.68885,343996.8509576694,3328.0,446434.4284936709,2195.25
512.0,531.0,531.0,42.01156,-87.68267,310540.02964118565,3654.0,409252.03267015086,2810.5
256.0,265.0,265.0,41.91019,-87.68217,770058.1383763838,2340.0,546237.0593831207,2876.8333333333335
42166.0,43811.0,43811.0,41.9317,-87.7132,469298.8703597944,3610.0,511525.4156738535,3167.8
512.0,531.0,531.0,41.93207,-87.68876999999998,469298.8703597944,3610.0,511525.4156738535,3167.8
19167.0,19914.0,19914.0,41.92428,-87.71759,469298.8703597944,3610.0,511525.4156738535,3167.8
512.0,531.0,531.0,41.75858,-87.55995,144173.1340388007,8323.0,121089.08159909117,2995.8
