,abi,primary_naics_code_2017,company_2017,year_2017,business_status_code_2017,company_holding_status_2017,census_tract_2017,year_established_2017,employee_size_location_2017,sales_volume_location_2017,latitude_2017,longitude_2017,employee_size_location_2016,sales_volume_location_2016,neighborhood_avg_property_value,neighborhood_property_crimes,surrounding_neighborhood_avg_property_value,surrounding_neighborhood_property_crimes
697,667719181,44511003,ALDI,2017,2,,691000,,10.0,2556.0,41.7611,-87.62432,10.0,2655.0,269.5620121687545,1809.0,488.81711767240193,1838.142857142857
698,667719223,44511003,ALDI,2017,2,,834300,,10.0,2556.0,41.75254,-87.58766999999999,10.0,2655.0,92.65170058960136,325.0,390.8256836462868,1449.3333333333333
699,667719249,44511003,ALDI,2017,2,,700100,,10.0,2556.0,41.75609,-87.68222,10.0,2655.0,153.93872279792896,850.0,477.40343271032225,1267.5
700,667719272,44511003,ALDI,2017,2,,840800,,10.0,2556.0,41.83817,-87.70546,10.0,2655.0,1550.6294410436078,1559.0,1756.575353733324,867.3333333333334
701,667719363,44511003,ALDI,2017,2,,530300,,10.0,2556.0,41.68497,-87.64336999999999,10.0,2655.0,72.6204825697982,1072.0,100.52927694822483,1028.0
702,671342673,44511003,ALDI,2017,2,,630300,,10.0,2556.0,41.80314,-87.70395,10.0,2655.0,490.1835788838373,674.0,708.4683089810131,1426.8333333333333
703,671342707,44511003,ALDI,2017,2,,831500,,10.0,2556.0,41.923759999999994,-87.78795,10.0,2655.0,1413.9475951410525,1532.0,2173.302624678347,1317.0
704,706069522,44511003,ALDI,2017,2,,30103,,10.0,2556.0,41.99492,-87.66029,10.0,2655.0,1960.401059162845,1037.0,2688.9416244944496,1091.6
705,706069584,44511003,ALDI,2017,2,,230600,,10.0,2556.0,41.907270000000004,-87.73691,10.0,2655.0,3507.0095553309943,2492.0,2272.0787019756613,1708.75
706,707740021,44511003,ALDI,2017,2,,210900,,10.0,2556.0,41.94665,-87.70185,10.0,2655.0,1683.708461308665,1219.0,3087.9694579041393,783.4285714285714
